epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,5539.93,1.50363,1.15613,0.01464,0.80259,0.73943,0.79317,0.40365,1.82477,1.10946,0.02037,0.000440046,0.000440046,0.000440046
92,5597.87,1.529,1.14395,0.01454,0.81868,0.7256,0.78508,0.38923,1.86024,1.13571,0.02081,0.000427764,0.000427764,0.000427764
93,5656.33,1.5458,1.17354,0.01453,0.8249,0.72102,0.79153,0.40798,1.82428,1.11624,0.02027,0.000415571,0.000415571,0.000415571
94,5715.46,1.52237,1.14633,0.01376,0.85098,0.72296,0.80512,0.40516,1.82376,1.07784,0.0203,0.000403473,0.000403473,0.000403473
95,5772,1.5098,1.10146,0.01432,0.78878,0.73904,0.79411,0.40262,1.83383,1.12728,0.02022,0.000391475,0.000391475,0.000391475
96,5828.53,1.52766,1.11547,0.01478,0.80295,0.73832,0.79433,0.39584,1.84293,1.12238,0.02102,0.000379582,0.000379582,0.000379582
97,5886.61,1.52008,1.11188,0.01433,0.78896,0.76649,0.79514,0.40781,1.82173,1.11523,0.02047,0.000367799,0.000367799,0.000367799
98,5945.12,1.50317,1.08582,0.01429,0.78015,0.77608,0.79681,0.40038,1.83823,1.08168,0.02062,0.000356132,0.000356132,0.000356132
99,6001.06,1.50378,1.11908,0.01422,0.80696,0.75642,0.8005,0.40906,1.82521,1.10598,0.0203,0.000344586,0.000344586,0.000344586
100,6059.64,1.5139,1.11859,0.01419,0.78993,0.76386,0.80341,0.40357,1.81759,1.15446,0.02019,0.000333165,0.000333165,0.000333165
101,6118.28,1.46839,1.12411,0.01419,0.7969,0.77853,0.80562,0.40753,1.81447,1.12708,0.01998,0.000321875,0.000321875,0.000321875
102,6177.24,1.47782,1.04767,0.01431,0.805,0.7636,0.79963,0.41383,1.8073,1.13258,0.02,0.000310721,0.000310721,0.000310721
103,6234.66,1.49013,1.04428,0.01363,0.83799,0.74104,0.80759,0.41765,1.79615,1.12302,0.02001,0.000299707,0.000299707,0.000299707
104,6290.22,1.48306,1.11263,0.01454,0.8142,0.75927,0.80213,0.41449,1.77576,1.12689,0.01948,0.000288839,0.000288839,0.000288839
105,6348.52,1.47646,1.09364,0.01422,0.79739,0.76418,0.80936,0.41388,1.8041,1.11819,0.01998,0.000278121,0.000278121,0.000278121
106,6407.05,1.4792,1.06432,0.01414,0.80757,0.75621,0.81189,0.4227,1.79418,1.14461,0.0197,0.000267558,0.000267558,0.000267558
107,6466.02,1.47637,1.09078,0.01388,0.80704,0.74034,0.79586,0.41285,1.81037,1.16187,0.01982,0.000257154,0.000257154,0.000257154
108,6522.14,1.50754,1.12796,0.01442,0.82591,0.74233,0.80143,0.41887,1.82488,1.12945,0.0201,0.000246915,0.000246915,0.000246915
109,6580.12,1.47602,1.09169,0.0141,0.81998,0.74911,0.80451,0.41441,1.82263,1.12763,0.02018,0.000236844,0.000236844,0.000236844
110,6638.07,1.44646,1.03938,0.01401,0.81458,0.76977,0.8083,0.42237,1.80864,1.09122,0.0202,0.000226946,0.000226946,0.000226946
111,6697.23,1.46168,1.09365,0.01352,0.82197,0.75643,0.80434,0.42064,1.79533,1.12418,0.01971,0.000217225,0.000217225,0.000217225
112,6753.46,1.45864,1.08537,0.01388,0.82958,0.75456,0.80234,0.41876,1.81221,1.13039,0.02023,0.000207686,0.000207686,0.000207686
113,6810.49,1.44946,1.0348,0.01377,0.81143,0.75539,0.80232,0.42109,1.81089,1.13803,0.02012,0.000198333,0.000198333,0.000198333
114,6868.98,1.47069,1.0763,0.01361,0.78801,0.7684,0.80021,0.4199,1.82429,1.12623,0.02039,0.00018917,0.00018917,0.00018917
115,6928.07,1.47375,1.06291,0.01402,0.82174,0.75662,0.80547,0.41756,1.82476,1.14137,0.02047,0.000180201,0.000180201,0.000180201
116,6985.85,1.45953,1.03724,0.01381,0.81831,0.7594,0.80597,0.42216,1.81935,1.13877,0.0201,0.000171429,0.000171429,0.000171429
117,7042.81,1.41938,1.05816,0.01369,0.81746,0.76078,0.80202,0.41848,1.80322,1.13772,0.01996,0.000162859,0.000162859,0.000162859
118,7100.66,1.42654,1.01156,0.0134,0.82752,0.73403,0.799,0.41571,1.79384,1.15726,0.01982,0.000154495,0.000154495,0.000154495
119,7159.79,1.43871,1.01337,0.01341,0.82337,0.75039,0.80089,0.41105,1.81428,1.14865,0.02,0.00014634,0.00014634,0.00014634
120,7216.64,1.43994,1.02371,0.01319,0.82985,0.76621,0.80293,0.41662,1.80444,1.14675,0.02,0.000138397,0.000138397,0.000138397
121,7273.66,1.42693,1.02369,0.01356,0.7981,0.75443,0.80342,0.41634,1.80618,1.14498,0.01992,0.000130671,0.000130671,0.000130671
122,7332.16,1.42547,1.03017,0.01336,0.80556,0.75195,0.80177,0.41828,1.80448,1.13796,0.01999,0.000123164,0.000123164,0.000123164
123,7391.2,1.43933,0.99373,0.01351,0.8172,0.74432,0.80061,0.41572,1.80726,1.1333,0.02018,0.00011588,0.00011588,0.00011588
124,7449.58,1.43062,1.01606,0.01348,0.80475,0.76494,0.80236,0.42078,1.79223,1.14353,0.01981,0.000108822,0.000108822,0.000108822
125,7506.34,1.40864,0.97979,0.01304,0.83292,0.75448,0.80853,0.4216,1.79857,1.12715,0.01992,0.000101993,0.000101993,0.000101993
126,7564.34,1.42237,1.00154,0.01318,0.81131,0.76489,0.80772,0.42101,1.79455,1.12194,0.01982,9.53968e-05,9.53968e-05,9.53968e-05
127,7623.01,1.43367,1.03456,0.01361,0.80627,0.76469,0.80777,0.42292,1.80275,1.13115,0.01988,8.90352e-05,8.90352e-05,8.90352e-05
128,7680.61,1.42881,1.01073,0.01375,0.84726,0.72306,0.80328,0.4234,1.80452,1.12814,0.01983,8.29115e-05,8.29115e-05,8.29115e-05
129,7736.9,1.42074,1.01758,0.01315,0.79532,0.7607,0.80288,0.42625,1.7966,1.12266,0.01995,7.70283e-05,7.70283e-05,7.70283e-05
130,7795.29,1.42112,1.00209,0.01305,0.80868,0.77144,0.80852,0.42729,1.79323,1.13449,0.01982,7.13883e-05,7.13883e-05,7.13883e-05
131,7854.64,1.30902,0.65844,0.01507,0.78143,0.76281,0.78511,0.3972,1.84869,1.19342,0.02106,6.59937e-05,6.59937e-05,6.59937e-05
132,7906.4,1.28248,0.59639,0.01415,0.79206,0.76253,0.79731,0.40751,1.82898,1.17848,0.02053,6.08472e-05,6.08472e-05,6.08472e-05
133,7960.62,1.28414,0.59832,0.01399,0.81799,0.73842,0.7926,0.40309,1.82373,1.18645,0.02046,5.59508e-05,5.59508e-05,5.59508e-05
134,8011.79,1.26252,0.5991,0.01345,0.82444,0.74315,0.79704,0.41116,1.81771,1.15291,0.02038,5.13068e-05,5.13068e-05,5.13068e-05
135,8066.89,1.27007,0.57177,0.01406,0.81457,0.75095,0.79525,0.41323,1.81502,1.15749,0.02029,4.69171e-05,4.69171e-05,4.69171e-05
136,8117.44,1.23769,0.56479,0.01327,0.81076,0.75769,0.79697,0.4133,1.79703,1.16314,0.01987,4.27838e-05,4.27838e-05,4.27838e-05
137,8171.66,1.26581,0.5762,0.01395,0.78452,0.78374,0.79737,0.41198,1.80017,1.15343,0.01998,3.89086e-05,3.89086e-05,3.89086e-05
